[(      5831,68)]
[(      2582,86)]
[(      9152,1)]
[(      6227,56)]
[(      8261,89)]
[(      9765,15)]
[(      3554,27)]
[(      8342,3)]
[(      5912,66)]
[(      7037,10)]
[(      9233,3)]
[(      7451,77)]
[(      2825,7)]
[(      7983,5)]
[(      6641,71)]
[(      2906,32)]
[(      8423,2)]
[(      6678,12)]
[(      6065,1)]
[(      4283,9)]
[(      3059,76)]
[(      1853,5)]
[(      9684,5)]
[(      2131,127)]
[(      1358,16)]
[(      1277,23)]
[(      1402,75)]
[(      1321,45)]
[(      1934,27)]
[(      4364,2)]
[(      3022,61)]
[(      7532,30)]
[(      3193,29)]
[(      3274,24)]
[(      6523,54)]
[(      5632,57)]
[(      6974,5)]
[(      3436,33)]
[(      8756,1)]
[(      6604,31)]
[(      6361,29)]
[(      9728,94)]
[(      4822,42)]
[(      5056,56)]
[(      8224,50)]
[(      2545,51)]
[(      3931,86)]
[(      2013,75)]
[(      1041,16)]
[(      4903,9)]
[(      7333,45)]
[(      8305,6)]
[(      1078,687)]
[(      1816,46)]
[(      5551,37)]
[(      6442,8)]
[(      4859,1)]
[(      1735,7)]
[(      7784,5)]
[(      1654,5)]
[(      6028,1)]
[(      4327,1)]
[(      9566,1)]
[(      4697,12)]
[(      8918,28)]
[(      4741,49)]
[(      9034,13)]
[(      3355,40)]
[(      7946,17)]
[(      6109,2)]
[(      7414,27)]
[(      9431,36)]
[(      2861,35)]
[(      5291,11)]
[(      3833,93)]
[(      9512,1)]
[(      8621,17)]
[(      3176,16)]
[(      1024,41)]
[(      5534,5)]
[(      4562,2)]
[(      7316,40)]
[(      4111,1)]
[(      5985,5)]
[(      4481,23)]
[(      5615,71)]
[(      8702,21)]
[(      1394,32)]
[(      1105,60)]
[(      5453,12)]
[(      6957,4)]
[(      7811,77)]
[(      2285,44)]
[(      4724,17)]
[(      3752,104)]
[(      1475,1)]
[(      7686,2)]
[(      7848,13)]
[(      1718,12)]
[(      3257,8)]
[(      9468,25)]
[(      6082,3)]
[(      8521,16)]
[(      8602,34)]
[(      3571,66)]
[(      9944,4)]
[(      1951,46)]
[(      7711,30)]
[(      4462,80)]
[(      4705,2)]
[(      7054,7)]
